item_id,name,market_value,quantity,avg_sale_price,sale_rate,timestamp
13468,Black Lotus,1773209,4,889876,0.426,2026-02-01T01:43:39.714655
12360,Arcanite Bar,1519321,3,394993,0.391,2026-02-01T01:43:44.574062
12811,Righteous Orb,1391929,5,235098,0.497,2026-02-01T01:43:49.085798
7067,Elemental Earth,81269,2,86691,0.858,2026-02-01T01:43:53.759104
7068,Elemental Fire,38745,25,4810,0.287,2026-02-01T01:43:58.922281
13463,Dreamfoil,35678,0,6531,0.615,2026-02-01T01:44:03.689924
13465,Mountain Silversage,51345,0,23447,0.579,2026-02-01T01:44:08.150608
13466,Plaguebloom,26475,57,10748,0.328,2026-02-01T01:44:12.588560
14344,Large Brilliant Shard,100200,94,36491,0.336,2026-02-01T01:44:17.271568
14342,Mooncloth,440271,1,173998,0.314,2026-02-01T01:44:21.595503
13464,Golden Sansam,2832,110,787,0.181,2026-02-01T01:44:26.117300
8846,Gromsblood,34336,56,20209,0.439,2026-02-01T01:44:30.625646
8845,Ghost Mushroom,30363,10,9409,0.308,2026-02-01T01:44:35.308120
13422,Stonescale Eel,14336,34,28483,0.651,2026-02-01T01:44:40.069543
13467,Icecap,11790,50,41031,0.321,2026-02-01T01:44:44.648433
13468,Black Lotus,1773209,4,889876,0.426,2026-02-01T01:48:18.949801
12360,Arcanite Bar,1519321,3,394993,0.391,2026-02-01T01:48:23.357567
12811,Righteous Orb,1391929,5,235098,0.497,2026-02-01T01:48:27.997427
7067,Elemental Earth,81269,2,86691,0.858,2026-02-01T01:48:32.309280
7068,Elemental Fire,38745,25,4810,0.287,2026-02-01T01:48:36.674976
13463,Dreamfoil,35678,0,6531,0.615,2026-02-01T01:48:41.090544
13465,Mountain Silversage,51345,0,23447,0.579,2026-02-01T01:48:45.475320
13466,Plaguebloom,26475,57,10748,0.328,2026-02-01T01:48:50.028886
14344,Large Brilliant Shard,100200,94,36491,0.336,2026-02-01T01:48:54.308809
14342,Mooncloth,440271,1,173998,0.314,2026-02-01T01:48:59.016410
13464,Golden Sansam,2832,110,787,0.181,2026-02-01T01:49:03.431397
8846,Gromsblood,34336,56,20209,0.439,2026-02-01T01:49:07.822153
8845,Ghost Mushroom,30363,10,9409,0.308,2026-02-01T01:49:12.222911
13422,Stonescale Eel,14336,34,28483,0.651,2026-02-01T01:49:16.601923
13467,Icecap,11790,50,41031,0.321,2026-02-01T01:49:20.958534
13468,Black Lotus,1773209,4,889876,0.426,2026-02-01T04:24:31.879373
12360,Arcanite Bar,1519321,3,394993,0.391,2026-02-01T04:24:35.526052
12811,Righteous Orb,1391929,5,235098,0.497,2026-02-01T04:24:38.934453
7067,Elemental Earth,81269,2,86691,0.858,2026-02-01T04:24:42.413269
7068,Elemental Fire,38745,25,4810,0.287,2026-02-01T04:24:45.659194
13463,Dreamfoil,35678,0,6531,0.615,2026-02-01T04:24:49.276497
13465,Mountain Silversage,51345,0,23447,0.579,2026-02-01T04:24:52.705649
13466,Plaguebloom,26475,57,10748,0.328,2026-02-01T04:24:56.000826
14344,Large Brilliant Shard,100200,94,36491,0.336,2026-02-01T04:24:59.315667
